name,country,url,teams,maps_played,rounds_played,kd_difference,kd_ratio,rating,total_kills,image_url
torzsi,Hungary,https://www.hltv.org/stats/players/18072/torzsi,"MOUZ,Budapest Five,MOUZ NXT,Salamander",463,12383,1963,1.26,1.17,9629,https://img-cdn.hltv.org/playerbodyshot/vXrIz7MNvxuNCR04WH139p.png?ixlib=java-2.1.0&w=400&s=51b5842a0405bef5d743850148ffd43c
yuurih,Brazil,https://www.hltv.org/stats/players/12553/yuurih,FURIA,1013,26421,3146,1.19,1.12,19975,https://img-cdn.hltv.org/playerbodyshot/_I8K7JaFgC64cefe16uV8p.png?ixlib=java-2.1.0&w=400&s=bb04aa3632418c3ed8a8b28c03e37f73
vsm,Brazil,https://www.hltv.org/stats/players/16816/vsm,"DETONA,00NATION",533,14130,1485,1.16,1.12,10883,https://img-cdn.hltv.org/playerbodyshot/ZQ7XFTNFq-hPoRU-Q-P3JP.png?ixlib=java-2.1.0&w=400&s=412c3f2c2b727d2c32395df4065ef723
syrsoN,Germany,https://www.hltv.org/stats/players/7266/syrson,"BIG,BIG,ALTERNATE aTTaX,Sprout",1735,46095,4647,1.16,1.09,33692,https://img-cdn.hltv.org/playerbodyshot/G3MPAUzFYwYxgMQiDQF5de.png?ixlib=java-2.1.0&w=400&s=d32633c0de1f1cf34d35ee214f638cc0
ZywOo,France,https://www.hltv.org/stats/players/11893/zywoo,"Vitality,aAa",1011,26577,6115,1.37,1.27,22439,https://img-cdn.hltv.org/playerbodyshot/OfWl-Y6zn3vN-3EddoAAxo.png?ixlib=java-2.1.0&w=400&s=25528ee0f2700ad596c2a7ea2027adfc
DANK1NG,China,https://www.hltv.org/stats/players/16207/dank1ng,"TYLOO,EHOME",390,10339,1597,1.24,1.16,8138,https://img-cdn.hltv.org/playerbodyshot/66Uk1PZdab4fVFuZu5QX5t.png?ixlib=java-2.1.0&w=400&s=46da41efa2bbf52e10af9f322d204f2c
KSCERATO,Brazil,https://www.hltv.org/stats/players/15631/kscerato,FURIA,921,23952,3745,1.27,1.14,17652,https://img-cdn.hltv.org/playerbodyshot/7UlnSQw1PMKkNuZjl16KSE.png?ixlib=java-2.1.0&w=400&s=11191d2ef2779a52d655eae7064c88fe
sh1ro,Russia,https://www.hltv.org/stats/players/16920/sh1ro,"Gambit Youngsters,Gambit",878,23298,5579,1.45,1.23,17976,https://img-cdn.hltv.org/playerbodyshot/Eyk16cFDkZ-a5F3b0Ex0Rj.png?ixlib=java-2.1.0&w=400&s=08540cdec6f55b1c9b99741fb91d65f1
degster,Russia,https://www.hltv.org/stats/players/17306/degster,"Espada,Spirit,Spirit",686,18284,3363,1.31,1.19,14351,https://img-cdn.hltv.org/playerbodyshot/bH3qqskLH4cnxmLeg6TgM2.png?ixlib=java-2.1.0&w=400&s=4b76b083099c566cf3d8098e958da619
dumau,Brazil,https://www.hltv.org/stats/players/15698/dumau,"GODSENT,Yeah",467,12363,1462,1.19,1.11,9180,https://img-cdn.hltv.org/playerbodyshot/KlHewq8Qis8AjzLb50QP_4.png?ixlib=java-2.1.0&w=400&s=0f2edc3e219971191fbf96b3b308096d
TenZ,Canada,https://www.hltv.org/stats/players/13254/tenz,"Bad News Bears,ATK",401,10399,839,1.12,1.10,7931,https://img-cdn.hltv.org/playerbodyshot/BGte6-_L0HAGjjiDQkVEnD.png?ixlib=java-2.1.0&w=400&s=83b9b4ae4b0e15ecd23a4a8faf8ee3d3
Ax1Le,Russia,https://www.hltv.org/stats/players/16555/ax1le,"Gambit Youngsters,Gambit",951,25216,2551,1.16,1.10,18361,https://img-cdn.hltv.org/playerbodyshot/bm95B2mKVEWVyn0Ndk42pP.png?ixlib=java-2.1.0&w=400&s=a89edca0ff90d76a270097c032aaba4d
saffee,Brazil,https://www.hltv.org/stats/players/18835/saffee,"FURIA,paiN,paiN",395,10445,1938,1.30,1.20,8298,https://img-cdn.hltv.org/playerbodyshot/oHD99ACgaCH8jpvcyTdKvx.png?ixlib=java-2.1.0&w=400&s=b67b6a8b99354e03051fbf701f88e606
dgt,Uruguay,https://www.hltv.org/stats/players/14736/dgt,9z,417,11041,1350,1.20,1.11,8127,https://img-cdn.hltv.org/playerbodyshot/JkVhOh48tRTgN6W5A1-bHM.png?ixlib=java-2.1.0&w=400&s=1cc60072f41f94d2e94bbb646dded8c4
Cooper,United States,https://www.hltv.org/stats/players/15007/cooper,"Swole Patrol,eUnited,Triumph",771,19991,2006,1.16,1.09,14703,https://img-cdn.hltv.org/playerbodyshot/EfOyIdnxoYVrwZvSAW3sFY.png?ixlib=java-2.1.0&w=400&s=980c80c39b0ccada4d30c2e66b5350fd
poizon,Bulgaria,https://www.hltv.org/stats/players/12126/poizon,"Complexity,Complexity,Windigo,Bpro",1101,29160,2855,1.15,1.10,21485,https://img-cdn.hltv.org/playerbodyshot/N7NdU6fO3tG4gplyX-8aIi.png?ixlib=java-2.1.0&w=400&s=b2cfdaeff19d762e206c763979458b53
dream3r,Bulgaria,https://www.hltv.org/stats/players/8412/dream3r,"SKADE,E-frag.net,Fiend",1277,33474,4219,1.20,1.11,24815,https://img-cdn.hltv.org/playerbodyshot/GLWdeoKbrK4zzXlEkLsaaG.png?ixlib=java-2.1.0&w=400&s=85b4a21faf5b3bbf4acbd22b2046120f
BnTeT,Indonesia,https://www.hltv.org/stats/players/7131/bntet,"TYLOO,Gen.G,Gen.G,EXTREMUM",1032,26897,3794,1.23,1.15,20572,https://img-cdn.hltv.org/playerbodyshot/Jd7PAn8LUNPZeHvJdeAPJv.png?ixlib=java-2.1.0&w=400&s=1bc0080f1f3b7ea6c6d0ec6b73b31a87
s1mple,Ukraine,https://www.hltv.org/stats/players/7998/s1mple,Natus Vincere,1556,41083,9004,1.34,1.25,35169,https://img-cdn.hltv.org/playerbodyshot/Q2u6AgnDNYQ3dyObwN4JBX.png?ixlib=java-2.1.0&w=400&s=5e19fa63867872bd78409f6e757ff6c3
coldzera,Brazil,https://www.hltv.org/stats/players/9216/coldzera,"SK,FaZe,Luminosity,MIBR,MIBR",1420,37074,5649,1.25,1.15,28470,https://img-cdn.hltv.org/playerbodyshot/cEWGq6uF0bUhUxfakQNcXm.png?ixlib=java-2.1.0&w=400&s=98bc0982aa9606bae323f4e38cada131
blameF,Denmark,https://www.hltv.org/stats/players/15165/blamef,"Astralis,Complexity,Complexity,Heroic,Heroic,Epsilon",873,23334,3676,1.26,1.15,17819,https://img-cdn.hltv.org/playerbodyshot/hUxKccHOmYqdTM6V4icoL5.png?ixlib=java-2.1.0&w=400&s=8cc73dfdc90a27a4bbb63efa8b8b53b1
electroNic,Russia,https://www.hltv.org/stats/players/8918/electronic,"Natus Vincere,FlipSid3",1303,34371,3077,1.14,1.09,25632,https://img-cdn.hltv.org/playerbodyshot/BugxKUSuXiyJVpK4P27Ys1.png?ixlib=java-2.1.0&w=400&s=df57dc790d42aa3c5f8d9c8cd9ffb1cc
XANTARES,Turkey,https://www.hltv.org/stats/players/7938/xantares,"Eternal Fire,Space Soldiers,BIG,BIG",1772,46706,6256,1.20,1.17,37879,https://img-cdn.hltv.org/playerbodyshot/VL-Iz2KPu5lQJVshz-vuzP.png?ixlib=java-2.1.0&w=400&s=03b62628c8cacfdd0b788f977a18672c
Kaze,Malaysia,https://www.hltv.org/stats/players/8950/kaze,"ViCi,Flash,MVP.karnal",855,22362,4236,1.32,1.19,17503,https://img-cdn.hltv.org/playerbodyshot/GpPHNhH7E0Kz25mwlSdfM8.png?ixlib=java-2.1.0&w=400&s=4351455dcef5b8e9743c9d4e1412bdfb
liTTle,Russia,https://www.hltv.org/stats/players/1088/little,"forZe,RuSh3D,Spartak,Enso",458,12159,1550,1.20,1.12,9317,
swag,United States,https://www.hltv.org/stats/players/5021/swag,"Swole Patrol,Torqued,iBUYPOWER,Lazarus",556,14447,1629,1.18,1.10,10527,https://img-cdn.hltv.org/playerbodyshot/4o1Je4itCj0J3W4A4O13ON.png?ixlib=java-2.1.0&w=400&s=c213e959cd0cb8070afcc78b126a3b15
ekul,Australia,https://www.hltv.org/stats/players/14505/ekul,"Paradox,SYF",449,11608,1003,1.13,1.10,8845,
deko,Russia,https://www.hltv.org/stats/players/20113/deko,1WIN,404,10913,2341,1.37,1.21,8738,https://img-cdn.hltv.org/playerbodyshot/0Wk9DiHhr9sJedFGO62w8B.png?ixlib=java-2.1.0&w=400&s=746f4d2c896de1f80b9834361488b9af
ryx,United States,https://www.hltv.org/stats/players/9042/ryx,"Echo Fox,Splyce,Ghost,Dignitas,Tempo Storm,Conquest",491,12856,1181,1.14,1.09,9797,https://img-cdn.hltv.org/playerbodyshot/p1kKGaz9WiiUmFwEYULIC6.png?ixlib=java-2.1.0&w=400&s=800cc1b63f4237d05f2b90325f9bf39c
Jamppi,Finland,https://www.hltv.org/stats/players/14087/jamppi,"SJ,ENCE",503,13449,1408,1.16,1.12,10302,https://img-cdn.hltv.org/playerbodyshot/Gl2bxAacJ0Eb7DDIov8T78.png?ixlib=java-2.1.0&w=400&s=424f0dcfa6b467de38d27d91ddd15bf7
gas,China,https://www.hltv.org/stats/players/10722/gas,"Wings Up,Wings Up,LGD,EDG,Aster",446,11650,718,1.09,1.09,9067,
SENSEi,Ukraine,https://www.hltv.org/stats/players/18227/sensei,"CR4ZY,Project X,Akuma,Run or Die",450,11919,2237,1.34,1.16,8879,https://img-cdn.hltv.org/playerbodyshot/YPL6OPSR5R_XacuAmRWSSD.png?ixlib=java-2.1.0&w=400&s=9274bbaff520edf912c77fefc313116f
hades,Poland,https://www.hltv.org/stats/players/16848/hades,"ENCE,Wisla Krakow",597,16027,1723,1.17,1.09,11717,https://img-cdn.hltv.org/playerbodyshot/sbpsxrTN2eyGXgVMzSJD2x.png?ixlib=java-2.1.0&w=400&s=530494b20440b5e3e81287477982ff9f
h4rn,Bulgaria,https://www.hltv.org/stats/players/20097/h4rn,"FATE,Fiend",559,14916,1759,1.19,1.10,10783,https://img-cdn.hltv.org/playerbodyshot/OL5e4bb1XOdlIRTJSjfB9i.png?ixlib=java-2.1.0&w=400&s=c4cc3b57633ba35ffd94047bb8057ae7
nython,Brazil,https://www.hltv.org/stats/players/18743/nython,"paiN,paiN,RED Canids,Paquetá",524,13953,1416,1.16,1.10,10480,https://img-cdn.hltv.org/playerbodyshot/HXRN7yuv7TVMIBHkrJ5t7m.png?ixlib=java-2.1.0&w=400&s=132e949e02111f3c1e3b417a954e9b4f
