name,team,maps_played,rounds_played,kd_difference,kd_ratio,rating
ZywOo,Vitality,1017,26721,6149,1.37,1.27
Kaze,ViCi,855,22362,4236,1.32,1.19
XANTARES,Space Soldiers,1772,46706,6256,1.20,1.17
saffee,FURIA,397,10498,1939,1.30,1.20
device,Astralis,1793,46666,7208,1.25,1.16
NiKo,FaZe,1634,43442,5564,1.19,1.16
blameF,Astralis,875,23387,3693,1.26,1.15
coldzera,FaZe,1423,37157,5644,1.25,1.15
coldzera,MIBR,1423,37157,5644,1.25,1.15
coldzera,MIBR,1423,37157,5644,1.25,1.15
Sico,ORDER,902,22858,3751,1.28,1.15
Sico,ORDER,902,22858,3751,1.28,1.15
KSCERATO,FURIA,923,24005,3737,1.27,1.14
oskar,HellRaisers,1458,38450,4848,1.20,1.13
Freeman,ViCi,759,19363,2218,1.18,1.12
yuurih,FURIA,1015,26474,3140,1.19,1.12
woxic,HellRaisers,1178,30952,3868,1.20,1.12
INS,ORDER,946,23988,2611,1.17,1.12
INS,ORDER,946,23988,2611,1.17,1.12
kNgV-,MIBR,827,21606,2406,1.17,1.12
kNgV-,MIBR,827,21606,2406,1.17,1.12
Twistzz,FaZe,1383,36325,3999,1.18,1.11
Twistzz,Liquid,1383,36325,3999,1.18,1.11
GuardiaN,FaZe,1578,41357,4761,1.18,1.11
mertz,North,955,25333,2594,1.16,1.10
mertz,North,955,25333,2594,1.16,1.10
HEN1,FURIA,1101,28598,3548,1.21,1.10
aliStair,ORDER,1057,26844,2814,1.17,1.10
aliStair,ORDER,1057,26844,2814,1.17,1.10
allu,FaZe,1615,42334,4329,1.16,1.09
JUGi,North,940,24427,2676,1.18,1.09
JUGi,North,940,24427,2676,1.18,1.09
Calyx,Space Soldiers,1113,29124,2848,1.16,1.09
NAF,Liquid,1565,41056,3999,1.15,1.09
Farlig,Astralis,722,19263,1819,1.15,1.09
EliGE,Liquid,1604,42008,2995,1.10,1.09
valde,North,1230,32676,2826,1.13,1.09
valde,North,1230,32676,2826,1.13,1.09
nukkye,HellRaisers,592,15492,1330,1.13,1.08
fer,MIBR,1436,37508,2794,1.11,1.08
fer,MIBR,1436,37508,2794,1.11,1.08
JOTA,MIBR,430,11228,989,1.14,1.08
JOTA,MIBR,430,11228,989,1.14,1.08
k0nfig,North,1553,41088,2503,1.09,1.08
k0nfig,North,1553,41088,2503,1.09,1.08
dupreeh,Astralis,1950,50780,4365,1.13,1.08
Savage,ViCi,836,21434,1926,1.14,1.08
Magisk,Astralis,1408,37052,3240,1.14,1.08
exit,MIBR,739,19050,1901,1.17,1.08
exit,MIBR,739,19050,1901,1.17,1.08
Hatz,ORDER,947,24099,2001,1.13,1.08
Hatz,ORDER,947,24099,2001,1.13,1.08
Rickeh,ORDER,955,25017,2360,1.15,1.07
Rickeh,ORDER,955,25017,2360,1.15,1.07
meyern,MIBR,431,11235,728,1.10,1.07
meyern,MIBR,431,11235,728,1.10,1.07
junior,FURIA,485,12690,1262,1.17,1.07
Liazz,ORDER,978,25217,2070,1.13,1.07
Liazz,ORDER,978,25217,2070,1.13,1.07
shox,Vitality,2018,52913,3761,1.11,1.07
paz,Space Soldiers,1068,27990,1998,1.11,1.07
broky,FaZe,703,18751,1665,1.15,1.07
trk,MIBR,817,21413,1492,1.11,1.07
trk,MIBR,817,21413,1492,1.11,1.07
Pimp,Liquid,976,25052,2016,1.13,1.07
boltz,MIBR,1304,33995,2626,1.12,1.07
boltz,MIBR,1304,33995,2626,1.12,1.07
shz,MIBR,801,20777,1467,1.11,1.07
shz,MIBR,801,20777,1467,1.11,1.07
FalleN,MIBR,1583,41454,3676,1.15,1.06
FalleN,MIBR,1583,41454,3676,1.15,1.06
chelo,MIBR,915,23714,1440,1.09,1.06
chelo,MIBR,915,23714,1440,1.09,1.06
zhokiNg,ViCi,1214,30991,1485,1.07,1.06
Valiance,ORDER,646,16727,1090,1.10,1.06
Valiance,ORDER,646,16727,1090,1.10,1.06
olofmeister,FaZe,1560,40776,2696,1.10,1.06
zeph,ORDER,559,14242,605,1.06,1.05
zeph,ORDER,559,14242,605,1.06,1.05
ISSAA,HellRaisers,870,22834,1402,1.09,1.05
cajunb,North,1745,45680,2884,1.10,1.05
cajunb,North,1745,45680,2884,1.10,1.05
Grim,Liquid,892,23471,716,1.04,1.05
mou,HellRaisers,1489,39475,2484,1.10,1.05
Flarich,HellRaisers,1058,28161,1801,1.10,1.05
Kjaerbye,North,1527,40175,2107,1.08,1.04
Kjaerbye,North,1527,40175,2107,1.08,1.04
Kjaerbye,Astralis,1527,40175,2107,1.08,1.04
jkaem,FaZe,1316,34740,1192,1.05,1.04
Lucky,Astralis,450,12182,733,1.10,1.04
aumaN,ViCi,874,22423,1183,1.08,1.04
Bubzkji,Astralis,817,21619,963,1.07,1.04
Hiko,Liquid,937,24398,1532,1.10,1.04
tb,ViCi,619,15737,708,1.07,1.03
USTILO,ORDER,1144,29584,928,1.05,1.03
USTILO,ORDER,1144,29584,928,1.05,1.03
rain,FaZe,1616,42756,854,1.03,1.03
aizy,North,1564,41206,1170,1.04,1.03
aizy,North,1564,41206,1170,1.04,1.03
aizy,FaZe,1564,41206,1170,1.04,1.03
jdm64,Liquid,823,21321,825,1.06,1.02
NBK-,Vitality,2051,53635,1319,1.04,1.02
bondik,HellRaisers,1454,38215,1456,1.06,1.02
Xyp9x,Astralis,1975,51443,2302,1.07,1.02
yel,MIBR,930,24064,1036,1.07,1.02
yel,MIBR,930,24064,1036,1.07,1.02
apEX,Vitality,2000,52450,621,1.02,1.02
Tuurtle,MIBR,750,19746,382,1.03,1.02
Tuurtle,MIBR,750,19746,382,1.03,1.02
Stewie2K,Liquid,1525,39802,376,1.01,1.01
kalinka,HellRaisers,855,22891,157,1.01,1.01
jR,HellRaisers,892,23804,554,1.04,1.01
DESPE,Space Soldiers,468,12127,320,1.04,1.01
kioShiMa,FaZe,1495,39250,1292,1.05,1.01
arT,FURIA,1001,25993,45,1.00,1.01
FugLy,Liquid,1083,28153,621,1.03,1.01
emagine,ORDER,751,18931,487,1.04,1.01
emagine,ORDER,751,18931,487,1.04,1.01
Zero,HellRaisers,1072,28513,755,1.04,1.00
nitr0,Liquid,1391,36249,530,1.02,1.00
adreN,Liquid,697,18241,380,1.03,1.00
STYKO,HellRaisers,1566,41290,453,1.02,1.00
ALEX,Vitality,1162,30750,,0.98,0.99
markeloff,HellRaisers,1143,29624,488,1.03,0.99
VINI,FURIA,1000,26088,,1.00,0.99
JIaYm,HellRaisers,523,14183,,0.97,0.99
ANGE1,HellRaisers,1728,45027,,0.98,0.99
Dosia,HellRaisers,1431,37517,293,1.01,0.99
gade,North,964,25326,,0.99,0.99
gade,North,964,25326,,0.99,0.99
J1rah,ORDER,785,20383,,1.00,0.99
J1rah,ORDER,785,20383,,1.00,0.99
AdreN,HellRaisers,1767,46454,,0.99,0.98
gla1ve,Astralis,1682,44183,90,1.00,0.98
DeadFox,HellRaisers,807,21060,,1.00,0.98
WOOD7,MIBR,547,14292,274,1.03,0.98
WOOD7,MIBR,547,14292,274,1.03,0.98
RpK,Vitality,1499,39100,,0.98,0.97
kUcheR,HellRaisers,852,22314,,0.99,0.97
LUCAS1,MIBR,943,24480,,0.97,0.96
LUCAS1,MIBR,943,24480,,0.97,0.96
ProbLeM,HellRaisers,547,14838,,0.97,0.96
stanislaw,Liquid,1331,34411,,0.98,0.96
Kristou,North,390,10304,,0.95,0.96
Kristou,North,390,10304,,0.95,0.96
MAJ3R,Space Soldiers,1050,27515,,0.97,0.96
misutaaa,Vitality,455,12030,,0.95,0.96
ngiN,Space Soldiers,1025,26895,,0.96,0.94
TACO,MIBR,1415,36770,,0.94,0.92
TACO,MIBR,1415,36770,,0.94,0.92
TACO,Liquid,1415,36770,,0.94,0.92
MSL,North,1716,44836,,0.90,0.92
MSL,North,1716,44836,,0.90,0.92
karrigan,FaZe,2020,52959,,0.90,0.91
crush,HellRaisers,729,19205,,0.89,0.90
flowsicK,Liquid,395,10074,,0.86,0.87
advent,ViCi,1092,28086,,0.88,0.87
