name,team,maps_played,rounds_played,kd_difference,kd_ratio,rating

ZywOo,Vitality,1020,26803,6164,1.37,1.27
saffee,FURIA,404,10701,1965,1.30,1.20
XANTARES,Space Soldiers,1772,46706,6256,1.20,1.17
Kaze,ViCi,864,22588,4291,1.32,1.19
device,Astralis,1793,46666,7208,1.25,1.16
NiKo,FaZe,1637,43526,5547,1.19,1.15
blameF,Astralis,880,23518,3727,1.26,1.15
coldzera,FaZe,1426,37264,5630,1.25,1.15
coldzera,MIBR,1426,37264,5630,1.25,1.15
coldzera,MIBR,1426,37264,5630,1.25,1.15
Sico,ORDER,902,22858,3751,1.28,1.15
Sico,ORDER,902,22858,3751,1.28,1.15
Sico,Renegades,902,22858,3751,1.28,1.15
KSCERATO,FURIA,930,24208,3762,1.27,1.14
Freeman,ViCi,766,19563,2255,1.18,1.12
yuurih,FURIA,1022,26677,3154,1.19,1.12
INS,ORDER,946,23988,2611,1.17,1.12
INS,ORDER,946,23988,2611,1.17,1.12
INS,Renegades,946,23988,2611,1.17,1.12
kNgV-,MIBR,827,21606,2406,1.17,1.12
kNgV-,MIBR,827,21606,2406,1.17,1.12
Twistzz,FaZe,1387,36436,4007,1.18,1.11
Twistzz,Liquid,1387,36436,4007,1.18,1.11
GuardiaN,FaZe,1578,41357,4761,1.18,1.11
HEN1,FURIA,1101,28598,3548,1.21,1.10
aliStair,ORDER,1057,26844,2814,1.17,1.10
aliStair,ORDER,1057,26844,2814,1.17,1.10
aliStair,Renegades,1057,26844,2814,1.17,1.10
allu,FaZe,1615,42334,4329,1.16,1.09
Calyx,Space Soldiers,1113,29124,2848,1.16,1.09
NAF,Liquid,1572,41281,4029,1.15,1.09
EliGE,Liquid,1611,42233,3052,1.11,1.09
fer,MIBR,1436,37508,2794,1.11,1.08
fer,MIBR,1436,37508,2794,1.11,1.08
Farlig,Astralis,727,19394,1789,1.15,1.08
JOTA,MIBR,430,11228,989,1.14,1.08
JOTA,MIBR,430,11228,989,1.14,1.08
dexter,Renegades,1004,25851,1935,1.11,1.08
dupreeh,Astralis,1953,50862,4365,1.13,1.08
Savage,ViCi,836,21434,1926,1.14,1.08
Magisk,Astralis,1411,37134,3232,1.14,1.08
exit,MIBR,739,19050,1901,1.17,1.08
exit,MIBR,739,19050,1901,1.17,1.08
Hatz,ORDER,947,24099,2001,1.13,1.08
Hatz,ORDER,947,24099,2001,1.13,1.08
Rickeh,ORDER,962,25181,2388,1.15,1.07
Hatz,Renegades,947,24099,2001,1.13,1.08
Rickeh,ORDER,962,25181,2388,1.15,1.07
meyern,MIBR,433,11291,723,1.10,1.07
meyern,MIBR,433,11291,723,1.10,1.07
junior,FURIA,485,12690,1262,1.17,1.07
jks,Renegades,1183,30912,2347,1.12,1.07
Liazz,ORDER,978,25217,2070,1.13,1.07
Liazz,ORDER,978,25217,2070,1.13,1.07
Liazz,Renegades,978,25217,2070,1.13,1.07
shox,Vitality,2018,52913,3761,1.11,1.07
broky,FaZe,707,18862,1677,1.15,1.07
paz,Space Soldiers,1068,27990,1998,1.11,1.07
trk,MIBR,830,21739,1489,1.10,1.07
trk,MIBR,830,21739,1489,1.10,1.07
Pimp,Liquid,976,25052,2016,1.13,1.07
boltz,MIBR,1304,33995,2626,1.12,1.07
boltz,MIBR,1304,33995,2626,1.12,1.07
shz,MIBR,801,20777,1467,1.11,1.07
shz,MIBR,801,20777,1467,1.11,1.07
FalleN,MIBR,1583,41454,3676,1.15,1.06
FalleN,MIBR,1583,41454,3676,1.15,1.06
