Date,Team1,Team2,Final Result 1,Final Result 2,Tournament,Link Stats
4 Jul,ODDIK,Meta BR,2,0,CBCS Elite League 2022,https://www.hltv.org//stats/matches/89890/oddik-vs-meta-br
3 Jul,Outsiders,Movistar Riders,1,2,ESL Challenger Valencia 2022,https://www.hltv.org//stats/matches/89889/outsiders-vs-movistar-riders
3 Jul,ARCTIC,Stars Horizon,2,0,CBCS Elite League 2022,https://www.hltv.org//stats/matches/89888/arctic-vs-stars-horizon
3 Jul,Nigma Galaxy,FURIA fe,2,0,ESL Impact Valencia 2022,https://www.hltv.org//stats/matches/89887/nigma-galaxy-vs-furia-fe
3 Jul,Sangal,EC Kyiv,0,2,Esport Tour 2022 Series 2,https://www.hltv.org//stats/matches/89886/sangal-vs-ec-kyiv
3 Jul,Movistar Riders,Sprout,2,0,ESL Challenger Valencia 2022,https://www.hltv.org//stats/matches/89885/movistar-riders-vs-sprout
3 Jul,FURIA fe,NAVI Javelins,2,0,ESL Impact Valencia 2022,https://www.hltv.org//stats/matches/89884/furia-fe-vs-navi-javelins
3 Jul,B8,BLUEJAYS,2,0,Esport Tour 2022 Series 2,https://www.hltv.org//stats/matches/89883/b8-vs-bluejays
3 Jul,Outsiders,Rare Atom,2,0,ESL Challenger Valencia 2022,https://www.hltv.org//stats/matches/89882/outsiders-vs-rare-atom
3 Jul,Nigma Galaxy,MIBR fe,2,0,ESL Impact Valencia 2022,https://www.hltv.org//stats/matches/89881/nigma-galaxy-vs-mibr-fe
3 Jul,Redragon,Meta BR,1,2,CBCS Elite League 2022,https://www.hltv.org//stats/matches/89880/redragon-vs-meta-br
2 Jul,HEET,Bad News Eagles,2,0,Elisa Invitational Spring 2022,https://www.hltv.org//stats/matches/89879/heet-vs-bad-news-eagles
2 Jul,ODDIK,Rehl,2,0,CBCS Elite League 2022,https://www.hltv.org//stats/matches/89878/oddik-vs-rehl
2 Jul,CLG Red,MIBR fe,0,2,ESL Impact Valencia 2022,https://www.hltv.org//stats/matches/89877/clg-red-vs-mibr-fe
2 Jul,Sprout,00NATION,2,0,ESL Challenger Valencia 2022,https://www.hltv.org//stats/matches/89876/sprout-vs-00nation
2 Jul,EC Kyiv,BLUEJAYS,2,1,Esport Tour 2022 Series 2,https://www.hltv.org//stats/matches/89875/ec-kyiv-vs-bluejays
